Last Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
02:25 PM,BERUWALA RESORTS PLC,BERU.N0000,1,31,299633,271435.5,0,0
02:25 PM,B P P L HOLDINGS PLC,BPPL.N0000,19.6,77,86298,1701485.5,-0.4,-2
02:25 PM,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,55.9,107,89474,5027468.1,-0.5,-0.89
02:25 PM,ABANS FINANCE PLC,AFSL.N0000,30,11,38652,1160916.3,-1,-3.23
02:25 PM,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,1.1,17,103294,113642.7,0,0
02:25 PM,RENUKA HOLDINGS PLC,RHL.N0000,15.1,36,170279,2550701.9,-0.2,-1.31
02:25 PM,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,8.5,185,883951,7506314.6,0.1,1.19
02:25 PM,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,90.1,73,44687,4025214.9,-0.6,-0.66
02:25 PM,LAUGFS GAS PLC,LGL.X0000,13.5,98,100571,1329194.7,-0.1,-0.74
02:25 PM,LAXAPANA BATTERIES PLC,LITE.N0000,14.9,22,7838,116556.5,0.3,2.05
02:26 PM,KEELLS FOOD PRODUCTS PLC,KFP.N0000,170,7,31,5193.75,0,0
02:26 PM,ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,3.2,158,1007810,3211914.5,-0.2,-5.88
02:26 PM,REGNIS(LANKA) PLC,REG.N0000,81,48,29157,2358849.5,-0.9,-1.1
02:26 PM,CEYLON TOBACCO COMPANY PLC,CTC.N0000,975,18,3165,3087917,-4,-0.41
02:26 PM,UNISYST ENGINEERING PLC,ALUF.N0000,9,71,93176,835760.9,0.2,2.27
02:26 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,134.75,10,3153,424678.75,-1.25,-0.92
02:26 PM,SIERRA CABLES PLC,SIRA.N0000,7.3,27,45372,331036.8,0,0
02:26 PM,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,36,13,5224,186384.6,0.1,0.28
02:26 PM,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,25.2,127,148814,3769741.3,-0.6,-2.33
02:26 PM,LEE HEDGES PLC,SHAW.N0000,71.4,27,75757,5313819.9,0.1,0.14
02:26 PM,NATIONS TRUST BANK PLC,NTB.N0000,56.2,75,37068,2088665.5,-0.6,-1.06
02:27 PM,RAMBODA FALLS PLC,RFL.N0000,22.1,27,7402,166025.5,0.8,3.76
02:27 PM,CENTRAL INDUSTRIES PLC,CIND.N0000,113.5,125,106649,12067244,-0.25,-0.22
02:27 PM,JANASHAKTHI INSURANCE PLC,JINS.N0000,28,83,132783,3713900.2,0.3,1.08
02:27 PM,LANKA IOC PLC,LIOC.N0000,20.6,57,61924,1287769.1,-0.3,-1.44
02:27 PM,RESUS ENERGY PLC,HPWR.N0000,27.1,6,207,5621.7,0.1,0.37
02:27 PM,NAWALOKA HOSPITALS PLC,NHL.N0000,6.2,36,964211,5978613.2,-0.1,-1.59
02:27 PM,WASKADUWA BEACH RESORT PLC,CITW.N0000,3.7,55,209765,783173,-0.1,-2.63
02:27 PM,SOFTLOGIC FINANCE PLC,CRL.N0000,9.7,5,512,4965.6,-0.1,-1.02
02:27 PM,EAST WEST PROPERTIES PLC,EAST.N0000,10.2,80,258423,2620281.1,-0.2,-1.92
02:27 PM,SELINSING PLC,SELI.N0000,670.5,9,30,21161,0,0
02:27 PM,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,31.8,9,1463,45635.5,0.3,0.95
02:27 PM,PEOPLE'S INSURANCE PLC,PINS.N0000,34.7,50,72906,2527043.6,0.2,0.58
02:27 PM,ABANS ELECTRICALS PLC,ABAN.N0000,180.5,44,7012,1256363.25,7.25,4.18
02:27 PM,EDEN HOTEL LANKA PLC,EDEN.N0000,14.3,168,1207646,17320521.3,0.1,0.7
02:27 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,95.3,70,58265,5503454.9,1.3,1.38
